customer_id,txn_count,avg_txn_amount,total_amount,avg_repayment_days
1,7,400.208571428571,2801.46,18.8571428571429
2,4,253.1325,1012.53,29.75
3,8,220.90875,1767.27,19.75
4,5,454.644,2273.22,25.6
5,7,339.845714285714,2378.92,25.5714285714286
6,3,475.5,1426.5,26.3333333333333
7,7,337.208571428571,2360.46,20.0
8,8,387.995,3103.96,23.375
9,5,319.712,1598.56,21.8
10,4,312.1325,1248.53,16.75
11,8,271.41375,2171.31,25.125
12,8,309.51375,2476.11,14.5
13,3,208.733333333333,626.2,25.0
14,6,364.501666666667,2187.01,27.6666666666667
15,5,234.318,1171.59,22.2
16,2,314.34,628.68,25.5
17,8,381.66875,3053.35,21.375
18,6,224.906666666667,1349.44,21.3333333333333
19,2,506.635,1013.27,17.0
20,5,290.958,1454.79,19.6
21,1,17.17,17.17,34.0
22,6,275.293333333333,1651.76,19.0
23,9,279.005555555556,2511.05,24.7777777777778
24,1,54.96,54.96,8.0
25,3,445.12,1335.36,8.66666666666667
26,7,421.19,2948.33,12.1428571428571
27,4,355.725,1422.9,16.75
28,9,359.941111111111,3239.47,25.6666666666667
29,3,304.763333333333,914.29,30.0
30,5,390.398,1951.99,19.0
31,3,149.486666666667,448.46,14.0
32,7,219.028571428571,1533.2,24.5714285714286
33,5,419.11,2095.55,16.2
34,9,233.238888888889,2099.15,23.1111111111111
35,7,326.592857142857,2286.15,25.0
36,2,120.005,240.01,14.5
37,4,156.145,624.58,25.5
38,9,452.84,4075.56,18.3333333333333
39,2,300.235,600.47,13.5
40,9,293.077777777778,2637.7,19.2222222222222
41,5,314.946,1574.73,19.6
42,2,275.92,551.84,35.0
43,4,265.7525,1063.01,9.75
44,7,281.681428571429,1971.77,25.5714285714286
45,8,374.86625,2998.93,18.5
46,3,448.78,1346.34,13.6666666666667
47,1,427.27,427.27,30.0
48,4,363.895,1455.58,23.0
49,2,219.88,439.76,14.0
50,8,325.37,2602.96,22.625
51,4,355.785,1423.14,18.0
52,2,196.42,392.84,26.0
53,6,296.323333333333,1777.94,14.6666666666667
54,6,204.648333333333,1227.89,23.6666666666667
55,4,278.535,1114.14,22.25
56,6,391.096666666667,2346.58,16.3333333333333
57,2,494.045,988.09,28.0
58,2,230.625,461.25,22.0
59,4,351.46,1405.84,14.25
60,8,335.0425,2680.34,16.75
61,7,330.122857142857,2310.86,25.5714285714286
62,9,237.066666666667,2133.6,22.1111111111111
63,8,402.41125,3219.29,20.0
64,5,262.432,1312.16,16.2
65,2,542.865,1085.73,28.5
66,5,264.706,1323.53,28.2
67,8,363.4,2907.2,19.5
68,9,328.367777777778,2955.31,20.0
69,9,265.966666666667,2393.7,24.3333333333333
70,1,142.05,142.05,27.0
71,9,357.347777777778,3216.13,20.5555555555556
72,7,312.182857142857,2185.28,22.5714285714286
73,9,273.645555555556,2462.81,25.4444444444444
74,8,318.3,2546.4,22.5
75,1,44.17,44.17,20.0
76,8,328.635,2629.08,30.375
77,8,310.67125,2485.37,20.5
78,3,223.993333333333,671.98,15.3333333333333
79,1,87.43,87.43,26.0
80,8,336.42875,2691.43,19.125
81,3,300.99,902.97,23.3333333333333
82,3,237.116666666667,711.35,22.6666666666667
83,1,61.84,61.84,15.0
84,5,219.854,1099.27,18.0
85,7,417.51,2922.57,14.7142857142857
86,9,298.747777777778,2688.73,19.1111111111111
87,7,361.905714285714,2533.34,25.8571428571429
88,9,213.892222222222,1925.03,18.5555555555556
89,8,250.06125,2000.49,19.125
90,2,454.85,909.7,34.5
91,1,339.3,339.3,22.0
92,7,143.392857142857,1003.75,29.5714285714286
93,7,276.318571428571,1934.23,12.1428571428571
94,8,265.21,2121.68,18.0
95,5,355.262,1776.31,20.6
96,3,252.896666666667,758.69,9.66666666666667
97,8,280.78,2246.24,26.875
98,6,297.3,1783.8,18.6666666666667
99,3,264.09,792.27,24.3333333333333
100,1,245.94,245.94,15.0
101,3,409.126666666667,1227.38,17.6666666666667
102,5,311.418,1557.09,20.8
103,3,398.183333333333,1194.55,21.3333333333333
104,1,512.19,512.19,12.0
105,5,219.206,1096.03,25.2
106,7,334.757142857143,2343.3,25.7142857142857
107,7,272.831428571429,1909.82,15.0
108,9,260.495555555556,2344.46,19.7777777777778
109,3,343.456666666667,1030.37,18.6666666666667
110,7,274.894285714286,1924.26,19.7142857142857
111,1,407.84,407.84,32.0
112,4,212.27,849.08,12.0
113,4,415.05,1660.2,19.75
114,5,220.61,1103.05,15.6
115,7,254.974285714286,1784.82,20.2857142857143
116,7,264.741428571429,1853.19,25.4285714285714
117,4,333.68,1334.72,18.0
118,7,378.364285714286,2648.55,22.1428571428571
119,3,323.463333333333,970.39,19.0
120,6,410.136666666667,2460.82,16.0
121,2,257.125,514.25,29.5
122,9,264.373333333333,2379.36,20.2222222222222
123,5,170.372,851.86,27.2
124,6,335.756666666667,2014.54,17.5
125,4,411.7325,1646.93,18.0
126,7,350.33,2452.31,22.2857142857143
127,9,286.071111111111,2574.64,20.8888888888889
128,7,391.501428571429,2740.51,22.2857142857143
129,1,357.04,357.04,6.0
130,1,388.97,388.97,26.0
131,9,309.196666666667,2782.77,27.5555555555556
132,9,354.904444444444,3194.14,19.4444444444444
133,4,269.3525,1077.41,18.0
134,9,271.215555555556,2440.94,29.8888888888889
135,3,191.66,574.98,24.0
136,7,252.892857142857,1770.25,21.0
137,6,406.175,2437.05,20.5
138,8,184.25875,1474.07,18.375
139,9,305.446666666667,2749.02,22.3333333333333
140,5,361.724,1808.62,23.0
141,1,129.19,129.19,10.0
142,3,334.276666666667,1002.83,24.3333333333333
143,8,302.44875,2419.59,21.25
144,6,303.061666666667,1818.37,17.5
145,8,373.5775,2988.62,29.25
146,9,255.466666666667,2299.2,16.6666666666667
147,4,348.4375,1393.75,26.0
148,1,516.42,516.42,21.0
149,1,547.35,547.35,21.0
150,4,351.6,1406.4,25.75
151,7,316.571428571429,2216.0,18.8571428571429
152,2,381.055,762.11,28.5
153,3,356.93,1070.79,19.0
154,1,547.3,547.3,17.0
155,5,307.408,1537.04,22.0
156,1,170.23,170.23,29.0
157,8,343.99875,2751.99,22.5
158,1,283.08,283.08,11.0
159,1,61.38,61.38,19.0
160,2,373.985,747.97,18.0
161,2,408.62,817.24,8.5
162,6,391.795,2350.77,19.8333333333333
163,7,290.535714285714,2033.75,20.8571428571429
164,5,452.466,2262.33,23.2
165,1,82.57,82.57,33.0
166,1,491.87,491.87,30.0
167,3,277.543333333333,832.63,22.3333333333333
168,2,523.02,1046.04,27.5
169,5,307.122,1535.61,24.6
170,6,238.726666666667,1432.36,15.0
171,7,342.417142857143,2396.92,22.7142857142857
172,4,443.8975,1775.59,17.25
173,7,305.342857142857,2137.4,26.2857142857143
174,8,270.87625,2167.01,24.125
175,1,318.24,318.24,26.0
176,6,446.016666666667,2676.1,19.6666666666667
177,8,297.5475,2380.38,19.75
178,5,286.256,1431.28,5.6
179,4,360.965,1443.86,17.5
180,2,182.02,364.04,27.5
181,6,334.191666666667,2005.15,16.3333333333333
182,6,287.365,1724.19,19.3333333333333
183,1,52.35,52.35,34.0
184,9,254.013333333333,2286.12,20.8888888888889
185,6,314.953333333333,1889.72,21.0
186,3,317.56,952.68,22.6666666666667
187,4,348.99,1395.96,22.25
188,4,233.195,932.78,28.25
189,3,186.47,559.41,13.3333333333333
190,3,479.613333333333,1438.84,22.0
191,3,471.326666666667,1413.98,27.3333333333333
192,4,171.2475,684.99,16.0
193,7,223.2,1562.4,24.5714285714286
194,4,311.425,1245.7,26.25
195,9,340.018888888889,3060.17,21.4444444444444
196,1,473.26,473.26,34.0
197,8,380.42,3043.36,26.125
198,7,156.344285714286,1094.41,20.4285714285714
199,2,430.885,861.77,25.0
200,8,237.035,1896.28,22.375
